transaction_id,amfi_code,investor_id,transaction_type,amount,date,kyc_status
1,119551,INV001,SIP,5000,2026-01-01,VERIFIED
4,108272,INV004,Lumpsum,25000,2026-04-04,PENDING
7,119552,INV007,Redemption,8000,2026-07-07,REJECTED
9,108272,INV009,Redemption,12000,2026-09-09,VERIFIED
11,119551,INV011,SIP,3000,2026-11-11,VERIFIED
12,119552,INV012,Lumpsum,20000,2025-12-12,PENDING
13,119553,INV013,Redemption,7000,2026-06-01,VERIFIED
14,108272,INV014,SIP,5000,2026-02-15,REJECTED
15,110282,INV015,Lumpsum,50000,2026-03-03,VERIFIED
16,119551,INV016,Redemption,9000,2026-04-04,PENDING
17,119552,INV017,SIP,4000,2026-05-05,VERIFIED
20,110282,INV020,SIP,5000,2026-08-08,VERIFIED
