Date,Scheme_Name,NAV
2022-01-03,Scheme_01,100.5605
2022-01-04,Scheme_01,101.7197
2022-01-05,Scheme_01,100.2662
2022-01-06,Scheme_01,99.8568
2022-01-07,Scheme_01,99.0716
2022-01-10,Scheme_01,99.572
2022-01-11,Scheme_01,98.6773
2022-01-12,Scheme_01,98.9777
2022-01-13,Scheme_01,99.8355
2022-01-14,Scheme_01,101.9146
2022-01-17,Scheme_01,102.723
2022-01-18,Scheme_01,103.8609
2022-01-19,Scheme_01,103.1115
2022-01-20,Scheme_01,103.1505
2022-01-21,Scheme_01,103.1021
2022-01-24,Scheme_01,102.2967
2022-01-25,Scheme_01,102.2779
2022-01-26,Scheme_01,102.3303
2022-01-27,Scheme_01,102.7741
2022-01-28,Scheme_01,102.8951
2022-01-31,Scheme_01,105.1287
2022-02-01,Scheme_01,106.4192
2022-02-02,Scheme_01,106.2333
2022-02-03,Scheme_01,105.5843
2022-02-04,Scheme_01,105.5068
2022-02-07,Scheme_01,105.7143
2022-02-08,Scheme_01,106.4158
2022-02-09,Scheme_01,106.5634
2022-02-10,Scheme_01,107.5008
2022-02-11,Scheme_01,107.9
2022-02-14,Scheme_01,108.5719
2022-02-15,Scheme_01,107.5744
2022-02-16,Scheme_01,107.511
2022-02-17,Scheme_01,106.6414
2022-02-18,Scheme_01,105.5459
2022-02-21,Scheme_01,105.4186
2022-02-22,Scheme_01,105.2466
2022-02-23,Scheme_01,105.2781
2022-02-24,Scheme_01,105.3424
2022-02-25,Scheme_01,106.2213
2022-02-28,Scheme_01,108.5279
2022-03-01,Scheme_01,108.2481
2022-03-02,Scheme_01,108.8894
2022-03-03,Scheme_01,108.1755
2022-03-04,Scheme_01,108.1665
2022-03-07,Scheme_01,107.5641
2022-03-08,Scheme_01,108.1838
2022-03-09,Scheme_01,108.2609
2022-03-10,Scheme_01,108.4655
2022-03-11,Scheme_01,107.4373
2022-03-14,Scheme_01,106.8557
2022-03-15,Scheme_01,106.1738
2022-03-16,Scheme_01,106.15
2022-03-17,Scheme_01,105.3982
2022-03-18,Scheme_01,106.1855
2022-03-21,Scheme_01,106.8455
2022-03-22,Scheme_01,105.5295
2022-03-23,Scheme_01,107.3147
2022-03-24,Scheme_01,106.7644
2022-03-25,Scheme_01,106.8326
2022-03-28,Scheme_01,106.2354
2022-03-29,Scheme_01,106.2599
2022-03-30,Scheme_01,107.2294
2022-03-31,Scheme_01,107.3032
2022-04-01,Scheme_01,107.9756
2022-04-04,Scheme_01,107.5052
2022-04-05,Scheme_01,107.4517
2022-04-06,Scheme_01,106.3377
2022-04-07,Scheme_01,105.5111
2022-04-08,Scheme_01,103.3763
2022-04-11,Scheme_01,103.7199
2022-04-12,Scheme_01,103.8535
2022-04-13,Scheme_01,102.5738
2022-04-14,Scheme_01,103.15
2022-04-15,Scheme_01,101.8521
2022-04-18,Scheme_01,100.9376
2022-04-19,Scheme_01,99.2286
2022-04-20,Scheme_01,98.4505
2022-04-21,Scheme_01,98.1467
2022-04-22,Scheme_01,99.1625
2022-04-25,Scheme_01,101.206
2022-04-26,Scheme_01,101.2153
2022-04-27,Scheme_01,101.4709
2022-04-28,Scheme_01,100.7293
2022-04-29,Scheme_01,102.3708
2022-05-02,Scheme_01,100.9116
2022-05-03,Scheme_01,101.1504
2022-05-04,Scheme_01,101.7454
2022-05-05,Scheme_01,101.8538
2022-05-06,Scheme_01,101.9495
2022-05-09,Scheme_01,101.9624
2022-05-10,Scheme_01,101.2448
2022-05-11,Scheme_01,99.9844
2022-05-12,Scheme_01,100.9759
2022-05-13,Scheme_01,100.7543
2022-05-16,Scheme_01,100.528
2022-05-17,Scheme_01,101.9144
2022-05-18,Scheme_01,102.889
2022-05-19,Scheme_01,102.6959
2022-05-20,Scheme_01,101.6769
2022-05-23,Scheme_01,102.6854
